cod_cliente,nm_cliente,nm_pais_cliente,nm_cidade_cliente,nm_rua_cliente,num_casa_cliente,telefone_cliente,dt_nascimento_cliente,dt_atualizacao,tp_pessoa,vl_renda
980,Krista Rogers,Guadeloupe,Kellyview,Barker Walk,3309,(95)39194-2483,2001-10-29,2024-04-18,PJ,57900.19
177,Veronica Russell,Guinea-Bissau,Romanside,Tucker Canyon,268,(42)71167-9960,1991-08-03,2024-10-28,PJ,78775.44
267,William Hughes,Mongolia,Taylorview,Daniel Inlet,72089,(70)40026-9752,2006-12-08,2025-01-20,PF,8877.67
980,Anita Riggs,Suriname,New Catherinestad,Daniel Plain,54225,001-595-499-9546x079,2002-12-19,2024-04-08,PJ,41326.54
530,Alan Humphrey,Belgium,Dianeshire,Wu Inlet,80620,(11)55935-5396,1963-12-18,2024-11-28,PJ,67695.14
561,Haley Harris,Swaziland,Michaeltown,Marsh Stravenue,562,(71)90455-9956,1963-02-05,2024-11-04,PJ,48874.57
396,Donald Walker,Cayman Islands,New Daisy,Palmer Crescent,25702,723.957.2526x786,1946-03-24,2024-07-18,PJ,20094.37
212,Kevin Smith,Bahrain,East Jasontown,James Fork,37887,(89)34335-7239,1952-07-12,2024-06-14,PJ,93220.41
396,Jennifer Malone,Korea,Port Victormouth,Smith Walk,91710,(25)32909-5910,2005-11-20,2024-06-23,PJ,93709.69
763,Justin Hunter,Rwanda,West Joseph,Linda Walks,752,(80)97036-1375,1958-08-15,2024-09-28,PF,9163.69
975,Lindsey Lewis,Cook Islands,East Josephfurt,Dunn Groves,660,(30)47422-4038,1946-03-13,2025-03-23,PJ,54144.95
177,Sierra Quinn,Zambia,Melindatown,James Run,6471,(45)88202-7887,1954-08-09,2025-03-03,PJ,69799.53
190,Noah Stone,Suriname,Martinview,Huerta Lock,296,(93)69452-5359,1966-09-09,2024-11-29,PJ,64615.03
190,Ana Wilson,United Kingdom,Port Denisechester,Claire Mills,651,(73)75320-5643,1964-07-24,2024-08-05,PF,4582.51
925,Randy Robles,Palau,Moodychester,Wallace Gardens,8050,(35)43622-2974,1952-03-28,2024-07-31,PJ,95576.2
920,Danielle Lopez,Guadeloupe,Christinemouth,Stephen Mews,78487,(79)28255-5198,1983-06-15,2024-05-10,PF,6361.51
980,Diana Williams,Bermuda,Frankborough,Nguyen Bridge,15217,(30)19810-8705,1945-11-09,2025-04-02,PF,1438.95
850,Tiffany Johnson,Turks and Caicos Islands,Austinmouth,Trevor Villages,78380,(78)24440-4480,1986-04-07,2024-09-09,PF,5276.56
267,Anthony Hernandez,Cameroon,Andrewborough,Castillo Motorway,3935,(74)75481-7026,2000-12-17,2024-05-04,PF,4406.63
177,Karen Hart,Central African Republic,West Williamchester,Wilson Ridges,16422,(913)801-5772,1991-07-20,2025-02-23,PJ,81390.19
353,Laura Heath,Djibouti,Sextonstad,Jonathon Lake,73234,(20)32055-1323,1955-05-11,2024-07-10,PJ,98259.23
904,Keith Riddle,France,West Jenniferfort,Megan Shoal,58273,553.399.1647x26248,1970-01-31,2024-04-30,PF,5833.75
202,John Fisher,Syrian Arab Republic,Thompsonmouth,Sean Unions,038,(87)46749-7229,1987-12-29,2025-01-15,PJ,55400.22
175,Jason Dunn,Saint Helena,Kerrytown,Gonzalez Mountain,189,+1-890-715-2586,1970-03-22,2024-12-22,PF,7647.96
106,Tyler Black,Saint Martin,New Tanya,Jean Vista,508,(19)89048-1969,1955-11-23,2024-08-16,PJ,87990.44
841,Robert Williams,Luxembourg,Katherineside,Jennifer Lock,03951,(63)75324-6105,1979-05-31,2024-08-21,PJ,30714.16
620,Tracy Gentry,Tanzania,Lake Joshuabury,Lambert Stream,13392,(82)40503-3445,1957-11-21,2024-09-21,PF,8844.37
855,James Levine,Pitcairn Islands,New Cathy,Davila Freeway,5122,(70)85824-4181,1964-06-06,2024-09-30,PF,3593.67
731,Diane Payne,Grenada,Saraburgh,Vincent Shores,0749,(11)49227-7283,1951-10-25,2025-03-05,PJ,82833.96
462,Janet Decker,Chad,New Aprilfort,Mary Station,2933,(46)23936-8832,1965-09-22,2024-11-20,PF,3249.46
668,David Wyatt,Azerbaijan,North Steven,Serrano Rue,0800,(65)76218-4161,1984-03-06,2024-05-14,PF,8785.55
620,Brian Simon,Hong Kong,Ronaldshire,Smith Key,605,(56)68831-7655,1947-03-17,2024-08-04,PJ,21330.8
909,Scott Mann,Tajikistan,Grahamshire,Flores Lock,30064,(18)38418-1574,1972-02-28,2024-10-11,PJ,23417.81
972,Matthew Shea,Netherlands,Lake Teresatown,Crystal Roads,3488,(64)71698-5770,2004-02-17,2025-02-14,PJ,47601.7
627,Gabriella Mathis DDS,Croatia,Christopherfurt,Anderson Lock,232,(386)686-5563x755,1992-03-13,2024-09-08,PF,5753.37
972,Mark Hernandez,Western Sahara,South Stephenberg,William Circle,20819,(99)12029-9967,1972-11-18,2025-03-18,PF,9487.63
396,Sarah Allen,Seychelles,North Melissabury,Burke Grove,249,(39)32960-8465,2001-10-12,2025-04-02,PJ,37091.67
850,Anthony Stout,Tunisia,Nicholasville,Tanya Trafficway,6287,(31)34284-5497,1971-02-23,2024-10-03,PF,4393.5
96,Lori Wolfe,San Marino,East Richard,Taylor Island,1155,(14)62841-1416,1966-07-05,2024-09-06,PJ,30876.76
735,Victoria Galvan,Uruguay,Jasonshire,Owens Trafficway,710,(21)30216-7996,1955-02-21,2024-04-20,PF,8885.21
577,Diane Clark,Uzbekistan,Ryanport,Oliver Mall,64696,(51)99850-5357,1960-05-06,2024-06-08,PJ,36763.22
658,Kristy Huber,Pitcairn Islands,Lyonstown,Antonio Villages,900,(37)84216-3351,1958-10-05,2024-10-03,PJ,69945.52
763,Lori Miller,Heard Island and McDonald Islands,Port Christopher,White Trafficway,3781,(12)45736-9218,2000-04-05,2024-06-23,PJ,43890.25
519,Andrea Harper,Ireland,North Samuel,Anderson Stravenue,386,(30)90486-2175,1995-11-19,2024-10-03,PJ,24298.63
457,Dennis Greene,Indonesia,Garrettport,Michael Valley,18463,(43)59191-8743,1961-05-30,2024-12-02,PF,8093.24
925,John Acosta,Belgium,Catherineside,Marquez Knoll,295,(85)66915-9517,1955-03-26,2024-10-29,PF,9870.36
19,George Lopez,Tanzania,Davidfurt,Jerry Alley,06752,(53)12959-3727,1991-08-14,2024-06-13,PJ,44115.16
657,Katelyn Hogan,Seychelles,Jamesville,Berry Creek,8393,(80)71640-4721,1959-04-22,2024-04-19,PF,4765.1
294,Jeremy Lee,Tajikistan,Williamsmouth,Timothy Via,4186,(31)87507-4192,1950-02-26,2024-12-21,PF,9631.78
977,Karen Hill,Suriname,Lake Timothyside,Morgan Green,5226,(79)29781-4596,1998-04-23,2024-07-23,PJ,78994.95
423,Laura Love,Mauritania,Johnsonmouth,Aaron Dale,523,6993474541,2005-08-22,2024-09-22,PJ,99764.12
878,Shannon Valencia,Lesotho,Martinezfort,Terri Harbor,3044,(42)27673-1471,1965-11-03,2025-01-23,PF,3177.96
2,April Sandoval,United States of America,Dianaburgh,Brian Inlet,2721,(82)23630-7260,1958-08-19,2025-01-27,PF,9185.91
712,Ryan Holland,Nauru,Amandashire,Johnson Ways,04109,(29)79186-6673,1952-11-09,2024-10-24,PF,4487.25
616,Andrew Diaz,United Kingdom,Guerrerofurt,Daniel Pass,8433,(37)52962-4364,1978-02-08,2024-07-07,PF,8466.43
698,Robert Harrison,Kuwait,Howellmouth,Jennifer Greens,451,(88)97993-7556,1957-01-31,2024-12-14,PJ,54673.44
479,Jeffrey Adams,Samoa,Gilbertshire,James Plains,501,(47)86379-8025,1946-05-02,2024-06-11,PF,5999.13
191,Kenneth White,Czech Republic,North Edward,Clark Valleys,81766,(58)72825-4741,1990-02-01,2024-09-20,PJ,19330.33
227,Richard Howell,Gabon,Lake Emma,Thomas Hollow,972,(72)17202-1483,1978-04-01,2024-04-19,PJ,46536.83
227,Kristi Barnett,Palestinian Territory,New Jacobmouth,Castaneda Avenue,014,(70)81767-8660,1954-04-04,2024-11-07,PF,5844.19
